                      Texto 1   Texto 2   Texto 3
contribuir           0.000000  0.000000  0.301030
controlada           0.000000  0.000000  0.301030
corr                 0.301030  0.000000  0.000000
corri                0.000000  0.301030  0.000000
cortarle             0.301030  0.000000  0.000000
creen                0.000000  0.301030  0.000000
criadas              0.301030  0.000000  0.000000
cu                   0.602060  0.000000  0.000000
cuadernos            0.301030  0.000000  0.000000
cual                 0.698970  0.000000  0.000000
cuando               0.301030  0.477121  0.301030
cuanto               0.000000  0.301030  0.000000
cuatro               0.301030  0.000000  0.000000
cuerpo               0.000000  0.000000  0.301030
culo                 0.000000  0.000000  0.301030
culos                0.000000  0.000000  0.301030
d                    0.477121  0.301030  0.000000
da                   0.301030  0.000000  0.301030
dado                 0.000000  0.301030  0.000000
davis                0.000000  0.301030  0.000000
de                   1.380211  1.397940  1.447158
deben                0.000000  0.000000  0.477121
dec                  0.301030  0.000000  0.000000
decir                0.301030  0.000000  0.301030
defend               0.301030  0.000000  0.000000
dej                  0.301030  0.000000  0.000000
deja                 0.000000  0.000000  0.301030
dejar                0.000000  0.000000  0.301030
del                  0.698970  0.698970  0.477121
delante              0.301030  0.000000  0.000000
delcatti             0.301030  0.000000  0.000000
dentro               0.301030  0.000000  0.000000
depende              0.000000  0.000000  0.301030
dependen             0.000000  0.000000  0.301030
derosi               0.301030  0.000000  0.000000
des                  0.000000  0.301030  0.000000
describir            0.000000  0.301030  0.000000
descripci            0.000000  0.301030  0.000000
descripta            0.000000  0.301030  0.000000
descriptivo          0.000000  0.602060  0.000000
desde                0.000000  0.000000  0.301030
desembocan           0.301030  0.000000  0.000000
desesperaba          0.301030  0.000000  0.000000
desierto             0.000000  0.301030  0.000000
desligar             0.000000  0.000000  0.301030
desmayarlos          0.000000  0.301030  0.000000
desprenderse         0.000000  0.000000  0.301030
despu                0.301030  0.000000  0.000000
determinar           0.000000  0.000000  0.301030
diab                 0.000000  0.000000  0.602060
diabetes             0.000000  0.000000  0.698970
diario               0.301030  0.000000  0.000000
dicho                0.000000  0.000000  0.301030
diciembre            0.000000  0.301030  0.000000
diciendo             0.301030  0.000000  0.000000
diecis               0.301030  0.000000  0.000000
dieta                0.000000  0.000000  0.778151
dietista             0.000000  0.000000  0.301030
diez                 0.301030  0.000000  0.000000
dif                  0.000000  0.301030  0.000000
dijo                 0.477121  0.301030  0.000000
dilatarlos           0.000000  0.301030  0.000000
director             0.301030  0.000000  0.000000
disciplina           0.000000  0.000000  0.301030
disciplinas          0.000000  0.000000  0.301030
discursos            0.000000  0.000000  0.301030
disimulo             0.000000  0.301030  0.000000
disminuye            0.000000  0.000000  0.301030
divide               0.000000  0.301030  0.000000
do                   0.000000  0.477121  0.000000
dom                  0.000000  0.477121  0.000000
don                  0.000000  0.301030  0.000000
donde                0.477121  0.000000  0.000000
dos                  0.301030  0.477121  0.000000
dulce                0.000000  0.000000  0.301030
dulces               0.000000  0.000000  0.301030
duramente            0.000000  0.301030  0.000000
durante              0.301030  0.000000  0.000000
e                    0.477121  0.000000  0.000000
ejemplo              0.000000  0.602060  0.000000
ejemplos             0.000000  0.000000  0.301030
el                   1.278754  1.146128  1.230449
elemental            0.301030  0.000000  0.000000
eleva                0.000000  0.000000  0.301030
ella                 0.301030  0.000000  0.000000
ellos                0.301030  0.301030  0.301030
embargo              0.301030  0.000000  0.000000
emisor               0.000000  0.301030  0.000000
empellones           0.301030  0.000000  0.000000
en                   1.079181  1.000000  1.113943
encabrit             0.301030  0.000000  0.000000
encontr              0.301030  0.000000  0.000000
encrespado           0.301030  0.000000  0.000000
encuentran           0.000000  0.477121  0.301030
encuentro            0.301030  0.000000  0.000000
energ                0.000000  0.000000  0.301030
enfermedad           0.000000  0.000000  0.301030
enmara               0.301030  0.000000  0.000000
enormemente          0.000000  0.000000  0.301030
enrique              0.602060  0.000000  0.000000
entonces             0.000000  0.000000  0.301030
entramos             0.301030  0.000000  0.000000
entrar               0.477121  0.000000  0.000000
entre                0.477121  0.602060  0.000000
entusiastas          0.000000  0.301030  0.000000
era                  0.477121  0.477121  0.000000
eran                 0.301030  0.000000  0.000000
ero                  0.301030  0.000000  0.000000
es                   0.602060  0.903090  0.954243
escaleras            0.301030  0.000000  0.000000
escapaban            0.301030  0.000000  0.000000
escribe              0.000000  0.000000  0.301030
escuchas             0.000000  0.000000  0.301030
escuela              0.602060  0.000000  0.000000
ese                  0.000000  0.301030  0.000000
eso                  0.000000  0.000000  0.301030
especialmente        0.000000  0.000000  0.301030
espesura             0.000000  0.301030  0.000000
espinosos            0.000000  0.301030  0.000000
est                  0.000000  0.477121  0.778151
esta                 0.477121  0.477121  0.477121
estaba               0.602060  0.000000  0.000000
estaban              0.301030  0.000000  0.000000
estaciones           0.000000  0.301030  0.000000
estampa              0.000000  0.301030  0.000000
este                 0.301030  0.477121  0.477121
esto                 0.000000  0.301030  0.477121
estructurados        0.000000  0.000000  0.301030
estudiaremos         0.301030  0.000000  0.000000
eterna               0.000000  0.301030  0.000000
evitar               0.000000  0.000000  0.602060
ex                   0.301030  0.000000  0.000000
excursionistas       0.000000  0.301030  0.000000
exist                0.000000  0.301030  0.000000
experta              0.000000  0.000000  0.301030
explica              0.000000  0.000000  0.301030
explicativa          0.000000  0.000000  0.301030
expone               0.000000  0.000000  0.301030
exponen              0.000000  0.000000  0.301030
exponerla            0.000000  0.000000  0.301030
exposici             0.000000  0.000000  0.301030
falanges             0.000000  0.301030  0.000000
fatigas              0.301030  0.000000  0.000000
favor                0.000000  0.000000  0.301030
favorito             0.000000  0.301030  0.000000
ficos                0.000000  0.000000  0.301030
fijamente            0.301030  0.000000  0.000000
fin                  0.301030  0.301030  0.000000
finalidad            0.000000  0.000000  0.301030
fing                 0.000000  0.301030  0.000000
florecen             0.000000  0.301030  0.000000
forma                0.000000  0.301030  0.000000
frente               0.301030  0.000000  0.000000
frescas              0.000000  0.301030  0.000000
frontera             0.000000  0.301030  0.000000
frutas               0.000000  0.000000  0.477121
fue                  0.000000  0.301030  0.000000
fuera                0.000000  0.000000  0.301030
fueron               0.301030  0.000000  0.000000
fuerza               0.301030  0.000000  0.000000
fuerzas              0.000000  0.301030  0.000000
funci                0.000000  0.301030  0.000000
galaz                0.000000  0.301030  0.000000
gana                 0.301030  0.000000  0.000000
gaseosas             0.000000  0.000000  0.301030
gastaba              0.000000  0.301030  0.000000
gent                 0.301030  0.000000  0.000000
gente                0.301030  0.000000  0.000000
glic                 0.000000  0.000000  0.301030
glucosa              0.000000  0.000000  0.477121
golpecito            0.301030  0.000000  0.000000
gordos               0.301030  0.000000  0.000000
gran                 0.301030  0.000000  0.000000
