                      Texto 1   Texto 2   Texto 3
contribuir           0.000000  0.000000  0.143628
controlada           0.000000  0.000000  0.143628
corr                 0.143628  0.000000  0.000000
corri                0.000000  0.143628  0.000000
cortarle             0.143628  0.000000  0.000000
creen                0.000000  0.143628  0.000000
criadas              0.143628  0.000000  0.000000
cu                   0.287256  0.000000  0.000000
cuadernos            0.143628  0.000000  0.000000
cual                 0.333493  0.000000  0.000000
cuando               0.000000  0.000000  0.000000
cuanto               0.000000  0.143628  0.000000
cuatro               0.143628  0.000000  0.000000
cuerpo               0.000000  0.000000  0.143628
culo                 0.000000  0.000000  0.143628
culos                0.000000  0.000000  0.143628
d                    0.084017  0.053009  0.000000
da                   0.053009  0.000000  0.053009
dado                 0.000000  0.143628  0.000000
davis                0.000000  0.143628  0.000000
de                   0.000000  0.000000  0.000000
deben                0.000000  0.000000  0.227645
dec                  0.143628  0.000000  0.000000
decir                0.053009  0.000000  0.053009
defend               0.143628  0.000000  0.000000
dej                  0.143628  0.000000  0.000000
deja                 0.000000  0.000000  0.143628
dejar                0.000000  0.000000  0.143628
del                  0.000000  0.000000  0.000000
delante              0.143628  0.000000  0.000000
delcatti             0.143628  0.000000  0.000000
dentro               0.143628  0.000000  0.000000
depende              0.000000  0.000000  0.143628
dependen             0.000000  0.000000  0.143628
derosi               0.143628  0.000000  0.000000
des                  0.000000  0.143628  0.000000
describir            0.000000  0.143628  0.000000
descripci            0.000000  0.143628  0.000000
descripta            0.000000  0.143628  0.000000
descriptivo          0.000000  0.287256  0.000000
desde                0.000000  0.000000  0.143628
desembocan           0.143628  0.000000  0.000000
desesperaba          0.143628  0.000000  0.000000
desierto             0.000000  0.143628  0.000000
desligar             0.000000  0.000000  0.143628
desmayarlos          0.000000  0.143628  0.000000
desprenderse         0.000000  0.000000  0.143628
despu                0.143628  0.000000  0.000000
determinar           0.000000  0.000000  0.143628
diab                 0.000000  0.000000  0.287256
diabetes             0.000000  0.000000  0.333493
diario               0.143628  0.000000  0.000000
dicho                0.000000  0.000000  0.143628
diciembre            0.000000  0.143628  0.000000
diciendo             0.143628  0.000000  0.000000
diecis               0.143628  0.000000  0.000000
dieta                0.000000  0.000000  0.371273
dietista             0.000000  0.000000  0.143628
diez                 0.143628  0.000000  0.000000
dif                  0.000000  0.143628  0.000000
dijo                 0.084017  0.053009  0.000000
