                          Texto 1  Texto 2  Texto 3
quisiera[si]              0.30103  0.00000  0.00000
recomendado[\\,]          0.00000  0.00000  0.30103
recomendado[consumo]      0.00000  0.00000  0.30103
recomendado[está]         0.00000  0.00000  0.30103
recomendado[mejor]        0.00000  0.00000  0.30103
recomendado[parte]        0.00000  0.00000  0.30103
recomendado[también]      0.00000  0.00000  0.30103
recomendado[”]            0.00000  0.00000  0.30103
ronca[es]                 0.30103  0.00000  0.00000
ronca[mira]               0.30103  0.00000  0.00000
ronca[ríe]                0.30103  0.00000  0.00000
ronca[voz]                0.30103  0.00000  0.00000
ríe[no]                   0.30103  0.00000  0.00000
ríe[nunca]                0.30103  0.00000  0.00000
ríe[se]                   0.30103  0.00000  0.00000
solo[pensamiento]         0.00000  0.30103  0.00000
sonreía[\\,]              0.30103  0.00000  0.00000
sonreía[que]              0.30103  0.00000  0.00000
sonreía[siempre]          0.30103  0.00000  0.00000
sorprenderá[los]          0.00000  0.30103  0.00000
sorprenderá[que]          0.00000  0.30103  0.00000
tengan[que]               0.00000  0.00000  0.30103
tengan[índice]            0.00000  0.00000  0.30103
tengo[.]                  0.30103  0.00000  0.00000
tengo[Pero]               0.30103  0.00000  0.00000
tengo[gustado]            0.30103  0.00000  0.00000
tengo[maestro]            0.30103  0.00000  0.00000
tengo[no]                 0.30103  0.00000  0.00000
tiempos[comida]           0.00000  0.00000  0.30103
tiempos[en]               0.00000  0.00000  0.30103
tiempos[los]              0.00000  0.00000  0.30103
tiempos[y]                0.00000  0.00000  0.30103
tigre[el]                 0.00000  0.30103  0.00000
todos[a]                  0.30103  0.00000  0.00000
todos[uno]                0.30103  0.00000  0.00000
uno[\\,]                  0.30103  0.00000  0.00000
uno[después]              0.30103  0.00000  0.00000
uvas[\\,]                 0.00000  0.00000  0.30103
uvas[las]                 0.00000  0.00000  0.30103
vamos[a]                  0.00000  0.30103  0.00000
vamos[que]                0.00000  0.30103  0.00000
vamos[vez]                0.00000  0.30103  0.00000
vegetales[y]              0.00000  0.00000  0.30103
vez[alguna]               0.00000  0.30103  0.00000
vida[la]                  0.00000  0.30103  0.00000
voz[su]                   0.30103  0.00000  0.00000
índice[bajo]              0.00000  0.00000  0.30103
índice[glicémico]         0.00000  0.00000  0.30103
