                           Texto 1   Texto 2   Texto 3
quisiera[si]              0.143628  0.000000  0.000000
recomendado[\\,]          0.000000  0.000000  0.143628
recomendado[consumo]      0.000000  0.000000  0.143628
recomendado[está]         0.000000  0.000000  0.143628
recomendado[mejor]        0.000000  0.000000  0.143628
recomendado[parte]        0.000000  0.000000  0.143628
recomendado[también]      0.000000  0.000000  0.143628
recomendado[”]            0.000000  0.000000  0.143628
ronca[es]                 0.143628  0.000000  0.000000
ronca[mira]               0.143628  0.000000  0.000000
ronca[ríe]                0.143628  0.000000  0.000000
ronca[voz]                0.143628  0.000000  0.000000
ríe[no]                   0.143628  0.000000  0.000000
ríe[nunca]                0.143628  0.000000  0.000000
ríe[se]                   0.143628  0.000000  0.000000
solo[pensamiento]         0.000000  0.143628  0.000000
sonreía[\\,]              0.143628  0.000000  0.000000
sonreía[que]              0.143628  0.000000  0.000000
sonreía[siempre]          0.143628  0.000000  0.000000
sorprenderá[los]          0.000000  0.143628  0.000000
sorprenderá[que]          0.000000  0.143628  0.000000
tengan[que]               0.000000  0.000000  0.143628
tengan[índice]            0.000000  0.000000  0.143628
tengo[.]                  0.143628  0.000000  0.000000
tengo[Pero]               0.143628  0.000000  0.000000
tengo[gustado]            0.143628  0.000000  0.000000
tengo[maestro]            0.143628  0.000000  0.000000
tengo[no]                 0.143628  0.000000  0.000000
tiempos[comida]           0.000000  0.000000  0.143628
tiempos[en]               0.000000  0.000000  0.143628
tiempos[los]              0.000000  0.000000  0.143628
tiempos[y]                0.000000  0.000000  0.143628
tigre[el]                 0.000000  0.143628  0.000000
todos[a]                  0.143628  0.000000  0.000000
todos[uno]                0.143628  0.000000  0.000000
uno[\\,]                  0.143628  0.000000  0.000000
uno[después]              0.143628  0.000000  0.000000
uvas[\\,]                 0.000000  0.000000  0.143628
uvas[las]                 0.000000  0.000000  0.143628
vamos[a]                  0.000000  0.143628  0.000000
vamos[que]                0.000000  0.143628  0.000000
vamos[vez]                0.000000  0.143628  0.000000
vegetales[y]              0.000000  0.000000  0.143628
vez[alguna]               0.000000  0.143628  0.000000
vida[la]                  0.000000  0.143628  0.000000
voz[su]                   0.143628  0.000000  0.000000
índice[bajo]              0.000000  0.000000  0.143628
índice[glicémico]         0.000000  0.000000  0.143628
