      Texto 1   Texto 2   Texto 3
aux  0.301030  0.000000  0.000000
ava  0.000000  0.000000  0.301030
ave  0.698970  0.602060  0.301030
avi  0.000000  0.845098  0.000000
avo  0.000000  0.301030  0.301030
avs  0.000000  0.000000  0.301030
aya  0.000000  0.903090  0.301030
ayc  0.301030  0.000000  0.301030
ayd  0.000000  0.000000  0.477121
aye  0.301030  0.000000  0.602060
ayn  0.477121  0.000000  0.000000
ayo  0.477121  0.000000  0.000000
ayq  0.301030  0.000000  0.000000
ayr  0.000000  0.301030  0.000000
ays  0.000000  0.000000  0.301030
ayt  0.000000  0.000000  0.301030
azc  0.000000  0.000000  0.778151
azd  0.000000  0.301030  0.000000
azn  0.000000  0.301030  0.000000
azu  0.000000  0.301030  0.301030
bab  0.301030  0.000000  0.000000
bac  0.301030  0.301030  0.000000
bad  0.602060  0.301030  0.000000
bae  0.602060  0.000000  0.000000
baj  0.602060  0.301030  0.477121
bal  0.301030  0.000000  0.000000
bam  0.301030  0.301030  0.000000
ban  0.954243  0.301030  0.301030
bap  0.301030  0.301030  0.000000
bar  0.698970  0.000000  0.000000
bas  0.301030  0.301030  0.000000
bat  0.477121  0.000000  0.000000
bay  0.301030  0.301030  0.000000
beb  0.000000  0.000000  0.301030
bed  0.301030  0.000000  0.000000
bee  0.000000  0.000000  0.301030
bel  0.602060  0.477121  0.000000
ben  0.000000  0.301030  0.477121
ber  0.000000  0.698970  0.000000
bes  0.301030  0.000000  0.000000
bet  0.000000  0.000000  0.698970
bia  0.000000  0.477121  0.000000
bid  0.000000  0.000000  0.301030
bie  0.000000  0.000000  0.477121
big  0.000000  0.477121  0.000000
bin  0.301030  0.000000  0.477121
bio  0.477121  0.477121  0.301030
bir  0.301030  0.301030  0.000000
bje  0.301030  0.301030  0.000000
bla  0.301030  0.477121  0.301030
ble  0.000000  0.301030  0.698970
blo  0.301030  0.301030  0.000000
boc  0.301030  0.000000  0.000000
bog  0.000000  0.000000  0.301030
boh  0.000000  0.000000  0.477121
bol  0.000000  0.301030  0.000000
bon  0.301030  0.000000  0.301030
bor  0.000000  0.000000  0.301030
bos  0.301030  0.000000  0.000000
bra  0.477121  0.602060  0.301030
bre  0.477121  0.477121  0.301030
bri  0.301030  0.000000  0.000000
bro  0.477121  0.301030  0.000000
bti  0.000000  0.000000  0.602060
bue  0.602060  0.301030  0.477121
bui  0.000000  0.000000  0.301030
bul  0.301030  0.000000  0.000000
bus  0.000000  0.000000  0.301030
cab  0.903090  0.301030  0.000000
cac  0.301030  0.477121  0.000000
cad  0.602060  0.477121  0.477121
cae  0.301030  0.477121  0.000000
cal  0.477121  0.698970  0.000000
cam  0.477121  0.778151  0.301030
can  0.698970  0.000000  0.301030
cao  0.000000  0.301030  0.000000
cap  0.477121  0.477121  0.000000
caq  0.000000  0.000000  0.301030
car  0.698970  0.000000  1.000000
cas  0.602060  0.698970  0.477121
cat  0.301030  0.301030  0.301030
cau  0.301030  0.000000  0.301030
cav  0.000000  0.301030  0.000000
cay  0.477121  0.301030  0.000000
cci  0.602060  0.000000  0.477121
cec  0.301030  0.000000  0.000000
ced  0.000000  0.000000  0.301030
ceg  0.000000  0.000000  0.301030
cel  0.301030  0.301030  0.301030
cen  0.301030  0.477121  0.602060
ceo  0.301030  0.000000  0.000000
cep  0.000000  0.477121  0.301030
cer  0.301030  0.301030  0.477121
ces  0.477121  0.000000  0.778151
cha  0.477121  0.477121  0.602060
che  0.000000  0.477121  0.000000
chi  0.477121  0.000000  0.000000
cho  0.301030  0.602060  0.477121
cia  0.301030  0.301030  0.477121
cid  0.000000  0.301030  0.301030
cie  0.698970  0.602060  0.778151
cil  0.301030  0.301030  0.000000
cin  0.602060  0.477121  0.903090
cio  0.602060  0.602060  0.477121
cip  0.477121  0.000000  0.602060
ciq  0.301030  0.000000  0.000000
cir  0.301030  0.000000  0.477121
cis  0.477121  0.000000  0.000000
cit  0.301030  0.000000  0.000000
cla  0.602060  0.000000  0.301030
clu  0.000000  0.000000  0.477121
cmi  0.000000  0.000000  0.301030
cmo  0.000000  0.000000  0.301030
coa  0.000000  0.000000  0.301030
cob  0.000000  0.301030  0.000000
coc  0.301030  0.000000  0.000000
coe  0.000000  0.301030  0.000000
coh  0.000000  0.000000  0.301030
col  0.000000  0.477121  0.000000
com  0.845098  0.477121  1.079181
con  1.204120  0.903090  0.903090
cop  0.000000  0.000000  0.301030
cor  0.778151  0.477121  0.000000
cos  0.477121  0.301030  1.000000
coy  0.000000  0.301030  0.000000
cpu  0.301030  0.000000  0.000000
cre  0.301030  0.301030  0.301030
cri  0.477121  0.845098  0.301030
cta  0.301030  0.000000  0.000000
cti  0.000000  0.301030  0.000000
cto  0.301030  0.000000  0.301030
ctu  0.000000  0.301030  0.301030
cua  0.903090  0.602060  0.477121
cuc  0.000000  0.000000  0.301030
cue  0.778151  0.477121  0.477121
cul  0.000000  0.301030  0.477121
cun  0.602060  0.000000  0.000000
cur  0.000000  0.477121  0.477121
daa  0.000000  0.000000  0.301030
dab  0.477121  0.000000  0.477121
dac  0.477121  0.301030  0.301030
dad  0.698970  0.903090  0.698970
dae  0.477121  0.301030  0.301030
dai  0.000000  0.000000  0.301030
daj  0.301030  0.000000  0.000000
dal  0.000000  0.000000  0.301030
dan  0.602060  0.477121  0.000000
dao  0.301030  0.000000  0.000000
dap  0.000000  0.000000  0.477121
das  0.477121  0.301030  0.778151
dav  0.000000  0.301030  0.000000
day  0.000000  0.301030  0.301030
dce  0.000000  0.301030  0.000000
dde  0.301030  0.477121  0.477121
ddi  0.301030  0.000000  0.000000
dea  0.477121  0.000000  0.903090
deb  0.000000  0.778151  0.477121
dec  0.602060  0.477121  0.778151
ded  0.000000  0.301030  0.301030
dee  0.000000  0.301030  0.845098
def  0.301030  0.000000  0.301030
dei  0.000000  0.000000  0.477121
dej  0.301030  0.000000  0.477121
del  1.255273  0.903090  0.845098
dem  0.778151  0.301030  0.602060
den  0.698970  0.602060  0.301030
deo  0.301030  0.000000  0.000000
dep  0.477121  0.301030  0.845098
deq  0.000000  0.000000  0.301030
der  0.602060  0.778151  0.301030
des  0.698970  1.041393  0.698970
det  0.000000  0.778151  0.477121
deu  0.000000  0.602060  0.602060
dev  0.477121  0.477121  0.301030
dey  0.301030  0.301030  0.000000
dhe  0.000000  0.301030  0.000000
dia  0.602060  0.000000  0.903090
dic  0.301030  0.477121  0.602060
did  0.000000  0.301030  0.000000
die  0.602060  0.000000  0.903090
dif  0.000000  0.301030  0.000000
dij  0.477121  0.301030  0.000000
dil  0.000000  0.301030  0.000000
dir  0.301030  0.000000  0.477121
dis  0.301030  0.301030  0.698970
dit  0.000000  0.301030  0.000000
div  0.000000  0.301030  0.000000
dmi  0.000000  0.301030  0.000000
doa  0.000000  0.477121  0.477121
doc  0.301030  0.477121  0.301030
dod  0.301030  0.477121  0.301030
doe  0.477121  0.477121  0.301030
dol  0.602060  0.698970  0.301030
