      Texto 1   Texto 2   Texto 3
aux  0.143628  0.000000  0.000000
ava  0.000000  0.000000  0.143628
ave  0.000000  0.000000  0.000000
avi  0.000000  0.403214  0.000000
avo  0.000000  0.053009  0.053009
avs  0.000000  0.000000  0.143628
aya  0.000000  0.159026  0.053009
ayc  0.053009  0.000000  0.053009
ayd  0.000000  0.000000  0.227645
aye  0.053009  0.000000  0.106018
ayn  0.227645  0.000000  0.000000
ayo  0.227645  0.000000  0.000000
ayq  0.143628  0.000000  0.000000
ayr  0.000000  0.143628  0.000000
ays  0.000000  0.000000  0.143628
ayt  0.000000  0.000000  0.143628
azc  0.000000  0.000000  0.371273
azd  0.000000  0.143628  0.000000
azn  0.000000  0.143628  0.000000
azu  0.000000  0.053009  0.053009
bab  0.143628  0.000000  0.000000
bac  0.053009  0.053009  0.000000
bad  0.106018  0.053009  0.000000
bae  0.287256  0.000000  0.000000
baj  0.000000  0.000000  0.000000
bal  0.143628  0.000000  0.000000
bam  0.053009  0.053009  0.000000
ban  0.000000  0.000000  0.000000
bap  0.053009  0.053009  0.000000
bar  0.333493  0.000000  0.000000
bas  0.053009  0.053009  0.000000
bat  0.227645  0.000000  0.000000
bay  0.053009  0.053009  0.000000
beb  0.000000  0.000000  0.143628
bed  0.143628  0.000000  0.000000
bee  0.000000  0.000000  0.143628
bel  0.106018  0.084017  0.000000
ben  0.000000  0.053009  0.084017
ber  0.000000  0.333493  0.000000
bes  0.143628  0.000000  0.000000
bet  0.000000  0.000000  0.333493
bia  0.000000  0.227645  0.000000
bid  0.000000  0.000000  0.143628
bie  0.000000  0.000000  0.227645
big  0.000000  0.227645  0.000000
bin  0.053009  0.000000  0.084017
bio  0.000000  0.000000  0.000000
bir  0.053009  0.053009  0.000000
bje  0.053009  0.053009  0.000000
bla  0.000000  0.000000  0.000000
ble  0.000000  0.053009  0.123083
blo  0.053009  0.053009  0.000000
boc  0.143628  0.000000  0.000000
bog  0.000000  0.000000  0.143628
boh  0.000000  0.000000  0.227645
bol  0.000000  0.143628  0.000000
bon  0.053009  0.000000  0.053009
bor  0.000000  0.000000  0.143628
bos  0.143628  0.000000  0.000000
bra  0.000000  0.000000  0.000000
bre  0.000000  0.000000  0.000000
bri  0.143628  0.000000  0.000000
bro  0.084017  0.053009  0.000000
bti  0.000000  0.000000  0.287256
bue  0.000000  0.000000  0.000000
bui  0.000000  0.000000  0.143628
bul  0.143628  0.000000  0.000000
bus  0.000000  0.000000  0.143628
cab  0.159026  0.053009  0.000000
cac  0.053009  0.084017  0.000000
cad  0.000000  0.000000  0.000000
cae  0.053009  0.084017  0.000000
cal  0.084017  0.123083  0.000000
cam  0.000000  0.000000  0.000000
can  0.123083  0.000000  0.053009
cao  0.000000  0.143628  0.000000
cap  0.084017  0.084017  0.000000
caq  0.000000  0.000000  0.143628
car  0.123083  0.000000  0.176091
cas  0.000000  0.000000  0.000000
cat  0.000000  0.000000  0.000000
cau  0.053009  0.000000  0.053009
cav  0.000000  0.143628  0.000000
cay  0.084017  0.053009  0.000000
cci  0.106018  0.000000  0.084017
cec  0.143628  0.000000  0.000000
ced  0.000000  0.000000  0.143628
ceg  0.000000  0.000000  0.143628
cel  0.000000  0.000000  0.000000
cen  0.000000  0.000000  0.000000
ceo  0.143628  0.000000  0.000000
cep  0.000000  0.084017  0.053009
cer  0.000000  0.000000  0.000000
ces  0.084017  0.000000  0.137026
cha  0.000000  0.000000  0.000000
che  0.000000  0.227645  0.000000
chi  0.227645  0.000000  0.000000
cho  0.000000  0.000000  0.000000
cia  0.000000  0.000000  0.000000
cid  0.000000  0.053009  0.053009
cie  0.000000  0.000000  0.000000
cil  0.053009  0.053009  0.000000
cin  0.000000  0.000000  0.000000
cio  0.000000  0.000000  0.000000
cip  0.084017  0.000000  0.106018
ciq  0.143628  0.000000  0.000000
cir  0.053009  0.000000  0.084017
cis  0.227645  0.000000  0.000000
cit  0.143628  0.000000  0.000000
cla  0.106018  0.000000  0.053009
clu  0.000000  0.000000  0.227645
cmi  0.000000  0.000000  0.143628
cmo  0.000000  0.000000  0.143628
coa  0.000000  0.000000  0.143628
cob  0.000000  0.143628  0.000000
coc  0.143628  0.000000  0.000000
coe  0.000000  0.143628  0.000000
coh  0.000000  0.000000  0.143628
col  0.000000  0.227645  0.000000
com  0.000000  0.000000  0.000000
